ItemId,Domain,Domain #,Question #
49385,Assessment of Performance Needs,1,104
49232,Assessment of Performance Needs,1,105
49429,Athlete Testing and Evaluation,4,106
49517,Program Design and Development,2,107
49527,Athlete Education and Training,3,108
49437,Program Design and Development,2,109
49496,Athlete Testing and Evaluation,4,110
49556,Athlete Education and Training,3,111
49744,Athlete Testing and Evaluation,4,112
49391,Assessment of Performance Needs,1,113
49543,Athlete Testing and Evaluation,4,114
49480,Program Design and Development,2,115
49540,Athlete Education and Training,3,116
49522,Organizational and Administrative Responsibilities,5,117
49460,Athlete Education and Training,3,118
49524,Organizational and Administrative Responsibilities,5,119
49410,Assessment of Performance Needs,1,120
49412,Program Design and Development,2,121
49277,Assessment of Performance Needs,1,122
49249,Program Design and Development,2,123
49508,Athlete Testing and Evaluation,4,124
49405,Assessment of Performance Needs,1,125
49351,Assessment of Performance Needs,1,126
49557,Athlete Education and Training,3,127
49295,Assessment of Performance Needs,1,128
49404,Program Design and Development,2,129
49198,Athlete Testing and Evaluation,4,130
49572,Athlete Education and Training,3,131
49263,Program Design and Development,2,132
49529,Organizational and Administrative Responsibilities,5,133
49203,Program Design and Development,2,134
49319,Athlete Testing and Evaluation,4,135
49498,Program Design and Development,2,136
49196,Assessment of Performance Needs,1,137
49525,Athlete Testing and Evaluation,4,138
49516,Athlete Testing and Evaluation,4,139
49341,Assessment of Performance Needs,1,140
49515,Athlete Testing and Evaluation,4,141
49479,Program Design and Development,2,142
49288,Program Design and Development,2,143
49311,Program Design and Development,2,144
49388,Program Design and Development,2,145
49502,Athlete Education and Training,3,146
49228,Program Design and Development,2,147
49428,Organizational and Administrative Responsibilities,5,148
49407,Assessment of Performance Needs,1,149
49421,Athlete Testing and Evaluation,4,150
